config_string,train_loss,train_accuracy,train_error,validation_loss,validation_accuracy,validation_error
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.6661078395043541&fully_connected_dropout=0.6380876867386615,0.00562222,1,0,2.10085,0.81640625,0.18359375
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.6154138146356619&fully_connected_dropout=0.3743271868038971,0.133508,0.935546875,0.064453125,2.69221,0.821614583333,0.178385416667
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.24264793177209587&fully_connected_dropout=0.19271176545315438,1.00415,0.466796875,0.533203125,1.16427,0.302734375,0.697265625
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.5814646774506544&fully_connected_dropout=0.8450200735169187,0.00020238,1,0,2.1354,0.819661458333,0.180338541667
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.32215033338308885&fully_connected_dropout=0.24387117303910721,1.00167,0.466796875,0.533203125,1.16443,0.302734375,0.697265625
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.6951669329456962&fully_connected_dropout=0.5227923254432322,0.0168549,0.990234375,0.009765625,2.71813,0.832682291667,0.167317708333
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.18837915733419508&fully_connected_dropout=0.6560578919701902,0.00801062,0.99609375,0.00390625,2.1239,0.814453125,0.185546875
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.9946346183212189&fully_connected_dropout=0.5955361839217344,0.247139,0.814453125,0.185546875,2.15077,0.62109375,0.37890625
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.7014664107165465&fully_connected_dropout=0.23544343372764587,1.00513,0.466796875,0.533203125,1.1644,0.302734375,0.697265625
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.5886527153441935&fully_connected_dropout=0.5337493921896639,0.0175548,1,0,2.80798,0.819661458333,0.180338541667
